"","X","case_id","year2020","continuous_treat","binary_treat","withdraw_school","agri_hours_worked","cereal_consump","roots_consump","nuts_consump","vegetables_consump","meatfish_consump","fruit_consump","milk_consump","fats_consump","sugar_consump","spices_consump","days_ate","religion","own_nonagri_business","perception_food","perception_housing","perception_clothing","perception_healthcare","floods","urban","district","sdate","smonth","syear","real_annual_consump","health_consump","drugs_consump","outpatient_consump","hospitalization_consump","dist_road","dist_popcenter","wetness_index","annual_mean_temp","annual_precipitation","ill_2wks","year_cont","cant_feed_fam","did","illness_cause_1","illness_cause_2","loss_after_death","loss_value","died_from_illness","stop_activities_past_week","anyone_else_stop_activities","spending_4wks_illnesses","hosp_12mnths","cost_hosp","borrow_sell_fund_treatment","lat","long","binary_treat_nann","site_id","site_type","site_is_health_center","site_accessibility","site_number_of_IDPs","binary_treat_nann_4km","site_id_of_nearest_4km","binary_treat_nann_3km","site_id_of_nearest_3km","binary_treat_nann_2km","site_id_of_nearest_2km","binary_treat_nann_6km","site_id_of_nearest_6km","binary_treat_nann_7km","site_id_of_nearest_7km","binary_treat_nann_10km","site_id_of_nearest_10km","hh_size","highest_educ"
"11",11,303015670255,0,0,0,1,41,7,1,0,7,2,7,0,0,0,7,3.44444444444444,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",2,1,0,"Zomba Non-City",27,"September",2016,847516.6875,9048.109375,7697.6455078125,1350.46411132812,0,9,23,13,227,1197,1,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-15.268513,35.49244,FALSE,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,"ZO_020",9,NA
"12",12,303015670324,0,0,0,0,18,7,0,0,7,4,7,0,6,0,7,7,"christianity",1,"It was less than adequate for household needs","It was just adequate for household needs","It was less than adequate for household needs",2,1,0,"Zomba Non-City",25,"September",2016,550618.125,6752.32080078125,6752.32080078125,0,0,10,24,14,227,1193,1,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-15.268513,35.49244,FALSE,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,"ZO_020",8,NA
"13",13,303015670394,0,0,0,0,7,7,0,1,7,2,7,0,7,0,7,7,"islam",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs",2,0,0,"Zomba Non-City",28,"September",2016,514917.65625,0,0,0,0,11,24,19,227,1196,1,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-15.268513,35.49244,FALSE,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,"ZO_020",3,NA
"14",14,303015670417,0,0,0,0,0,7,1,1,7,1,1,0,3,2,7,7,"islam",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",1,0,0,"Zomba Non-City",28,"September",2016,957677.625,114114.2265625,14179.8740234375,99934.3515625,0,10,24,16,227,1198,1,2016,1,0,NA,NA,0,NA,0,NA,NA,7400,0,NA,NA,-15.268513,35.49244,FALSE,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,"ZO_020",6,NA
"15",15,303015670440,0,0,0,1,9,3,0,0,6,1,0,0,0,0,6,3,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",2,0,0,"Zomba Non-City",25,"September",2016,322019.78125,1350.46411132812,1350.46411132812,0,0,10,24,14,227,1198,1,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-15.268513,35.49244,FALSE,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,"ZO_020",4,NA
"16",16,303015670486,0,0,0,1,0,7,1,1,3,1,0,0,0,1,5,5.71428571428571,"islam",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Zomba Non-City",26,"September",2016,472137.75,3376.16040039062,3376.16040039062,0,0,11,24,13,227,1196,1,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-15.268513,35.49244,FALSE,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,"ZO_020",7,NA
"17",17,303015680013,0,0,0,1,45,7,3,1,7,2,2,0,7,1,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Zomba Non-City",27,"March",2017,621983.375,21471.626953125,21471.626953125,0,0,8,18,13,223,1247,1,2016,1,0,"6",NA,0,NA,1,NA,NA,0,0,NA,NA,-15.331859,35.457338,FALSE,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,4,NA
"18",18,303015680026,0,0,0,0,36,7,0,7,7,2,7,7,1,2,7,7,"christianity",0,"It was just adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",2,0,0,"Zomba Non-City",29,"March",2017,413110.125,3303.3271484375,0,0,3303.3271484375,8,18,13,224,1243,1,2016,1,0,NA,NA,0,NA,0,24,17,0,1,NA,0,-15.331859,35.457338,FALSE,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,3,NA
"19",19,303015680039,0,0,0,0,15,7,0,3,4,3,0,0,0,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,1,0,"Zomba Non-City",28,"March",2017,241022.1875,0,0,0,0,8,18,13,224,1243,1,2016,1,0,NA,NA,0,NA,0,4,0,0,0,NA,NA,-15.331859,35.457338,FALSE,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA
"20",20,303015680053,0,0,0,0,20,6,1,3,7,4,2,0,0,2,7,6.375,"christianity",0,"It was just adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",2,0,0,"Zomba Non-City",27,"March",2017,925589.5625,5030.4951171875,5030.4951171875,0,0,8,18,13,224,1243,1,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-15.331859,35.457338,FALSE,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,8,NA
"21",21,303015680066,0,0,0,1,12,5,0,7,7,3,2,0,3,3,7,5.25,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Zomba Non-City",30,"March",2017,806230.6875,14723.4013671875,14723.4013671875,0,0,8,18,13,224,1243,1,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-15.331859,35.457338,FALSE,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,4,NA
"22",22,303015680079,0,0,0,0,15,7,0,0,5,4,0,0,3,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",2,0,0,"Zomba Non-City",30,"March",2017,573059.9375,10193.1240234375,7361.70068359375,0,2831.42333984375,8,18,13,224,1243,1,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-15.331859,35.457338,FALSE,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,4,NA
"23",23,303015680092,0,0,0,1,17,7,0,2,5,2,4,0,0,0,7,5.5,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Zomba Non-City",29,"March",2017,866873.25,9815.6005859375,9815.6005859375,0,0,8,18,13,224,1243,1,2016,1,0,"10",NA,0,NA,1,NA,NA,0,0,NA,NA,-15.331859,35.457338,FALSE,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,4,NA
"24",24,303015680106,0,0,0,0,27,7,4,0,7,4,0,0,2,2,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Zomba Non-City",29,"March",2017,421776.5625,858.865051269531,858.865051269531,0,0,8,18,13,223,1243,0,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-15.331859,35.457338,FALSE,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2,NA
"25",25,303015680119,0,0,0,0,19,7,0,2,5,5,0,0,5,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Zomba Non-City",27,"March",2017,585053.625,6134.75048828125,6134.75048828125,0,0,8,18,12,223,1243,1,2016,1,0,"8",NA,0,NA,1,NA,NA,0,0,NA,NA,-15.331859,35.457338,FALSE,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,5,NA
