"","case_id","continuous_treat","binary_treat","religion","days_ate","withdraw_school","ill_2wks","agri_hours_worked","cereal_consump","roots_consump","nuts_consump","vegetables_consump","meatfish_consump","fruit_consump","milk_consump","fats_consump","sugar_consump","spices_consump","cant_feed_fam","own_nonagri_business","perception_food","perception_housing","perception_clothing","perception_healthcare","floods","real_annual_consump","health_consump","drugs_consump","outpatient_consump","hospitalization_consump","lat","lon","dist_road","dist_popcenter","wetness_index","annual_mean_temp","annual_precipitation","year2020","urban","district","sdate","smonth","syear"
"19","303015760044",0,0,"christianity",7,0,0,40,7,1,0,7,4,7,0,3,0,7,0,0,1,1,1,1,0,73151.3203125,0,0,0,0,-15.2658004760742,35.4682006835938,7.03999996185303,19.8999996185303,13,225,1210,0,"rural","Zomba",10,11,2010
"20","303015760055",0,0,"christianity",5.25,0,1,56,7,1,0,7,7,1,0,3,0,7,0,0,2,1,2,2,0,68552.5390625,0,0,0,0,-15.2658004760742,35.4682006835938,7.17000007629395,20.0499992370605,12,225,1210,0,"rural","Zomba",11,11,2010
"21","303015760078",0,0,"christianity",7,0,0,16,7,7,4,7,2,7,0,2,7,7,1,0,2,2,2,2,0,109172.3671875,0,0,0,0,-15.2658004760742,35.4682006835938,8.10133361816406,20.9313335418701,13.7333335876465,225.933334350586,1206.59997558594,0,"rural","Zomba",10,11,2010
"22","303015760089",0,0,"christianity",7,0,0,29,7,1,3,7,7,1,1,7,0,7,0,0,1,1,1,1,0,168604.734375,0,0,0,0,-15.2658004760742,35.4682006835938,8.05000019073486,20.9599990844727,13,226,1201,0,"rural","Zomba",10,11,2010
"23","303015760100",0,0,"christianity",7,0,1,72,7,0,7,7,6,7,0,7,7,7,1,0,1,1,1,1,0,327293.375,0,0,0,0,-15.2658004760742,35.4682006835938,8.73999977111816,21.6900005340576,13,227,1202,0,"rural","Zomba",11,11,2010
"24","303015760112",0,0,"islam",7,0,0,12,7,2,3,7,1,7,0,2,7,7,1,0,2,2,2,2,0,103432.8046875,0,0,0,0,-15.2658004760742,35.4682006835938,8.57999992370605,21.5,16,227,1202,0,"rural","Zomba",10,11,2010
"25","303015760134",0,0,"christianity",7,0,0,0,7,0,2,4,5,2,0,3,0,7,0,0,2,1,2,2,0,69560.4140625,0,0,0,0,-15.2658004760742,35.4682006835938,7.94999980926514,20.8199996948242,14,226,1206,0,"rural","Zomba",10,11,2010
"26","303015760145",0,0,"islam",5.625,1,1,35,7,1,2,6,2,4,0,1,3,7,1,0,1,1,1,1,0,127438.21875,0,0,0,0,-15.2658004760742,35.4682006835938,7.94999980926514,20.9400005340576,13,226,1201,0,"rural","Zomba",10,11,2010
"27","303015760157",0,0,"islam",7,0,0,14,7,3,7,7,4,7,0,3,7,7,1,0,2,2,2,2,0,125883.046875,0,0,0,0,-15.2658004760742,35.4682006835938,8.92000007629395,21.6800003051758,17,226,1208,0,"rural","Zomba",11,11,2010
"28","303015760168",0,0,"islam",7,0,0,50,7,0,3,7,6,2,0,7,1,7,1,0,1,1,1,1,0,119936.90625,0,0,0,0,-15.2658004760742,35.4682006835938,9.10000038146973,21.7299995422363,13,227,1209,0,"rural","Zomba",11,11,2010
